Source,Lat,Lon,Elev,Year,Month,d13Catm,Type,Species,Family,Biome,leaf_N_g_kg,leaf_C_g_kg,leaf_d15N,leaf_d13C,leaf_D13C,soil_d15N,soil_d13C,soil_C_g_kg,soil_N_g_kg,country,soil_type,soil_depth,sitename,sample_time,Notes
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-29.8,34.82,1.8,Belgium,,0.953895,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-29.5,62.77,,Belgium,,1.22137,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-29.1,4.42,,Belgium,,1.37405,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-29.5,29.17,,Belgium,,2.86169,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-29.2,52.89,,Belgium,,3.81679,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-28.7,33.19,,Belgium,,3.96947,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-29.2,25.23,,Belgium,,4.92846,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.9,45.19,,Belgium,,6.25954,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-28.2,24,,Belgium,,6.41221,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-28.4,23.39,,Belgium,,6.83625,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.5,38.62,,Belgium,,8.77863,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-28.5,23.12,,Belgium,,8.90302,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.9,19.72,,Belgium,,8.9313,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-28.2,18.99,,Belgium,,10.9698,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.5,37.96,,Belgium,,11.2214,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.8,16.92,,Belgium,,11.4504,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-27.7,14.96,,Belgium,,12.8776,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.3,3.73,,Belgium,,13.6641,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.7,16.43,,Belgium,,13.8168,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-27.1,12.37,,Belgium,,14.7854,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.2,26.95,,Belgium,,16.2595,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.6,15.61,,Belgium,,16.4122,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-27.4,9.5,,Belgium,,17.0111,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-27.9,22.19,,Belgium,,18.7023,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.7,16.13,,Belgium,,18.855,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-27.1,9.29,,Belgium,,18.9189,Melle,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.8,9.35,,Belgium,,20.8267,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-27.8,23.47,,Belgium,,21.2977,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.5,15.61,,Belgium,,21.374,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.7,8.25,,Belgium,,22.7345,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-27.1,15.77,,Belgium,,23.7405,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.5,13.47,,Belgium,,23.8931,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.3,7.67,,Belgium,,24.9603,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-27,13.47,,Belgium,,26.2595,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.4,1.52,,Belgium,,26.4885,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.2,6.71,,Belgium,,26.868,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-26.8,11.52,,Belgium,,28.7023,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.4,1.35,,Belgium,,28.9313,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-25.8,6.14,,Belgium,,28.9348,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-27.1,11.83,,Belgium,,31.2214,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.5,8.79,,Belgium,,31.374,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-26.9,1.52,,Belgium,,33.7405,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.3,4.77,,Belgium,,33.9695,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-25.8,4.29,,Belgium,,34.8172,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-26.8,9.54,,Belgium,,36.2595,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.2,3.94,,Belgium,,36.3359,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-26.7,9.38,,Belgium,,38.7786,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.3,3.29,,Belgium,,39.0076,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-25.4,3.7,,Belgium,,44.8331,Melle,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26,2.26,,Belgium,,55.0079,Melle,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.5,2.14,,Belgium,,64.8649,Melle,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.4,1.15,,Belgium,,74.8808,Melle,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.4,0.86,,Belgium,,85.0556,Melle,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-26.2,0.86,,Belgium,,95.0715,Melle,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-27,73.2,,"Kentucky, USA",,5,KY3,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-27,36.3,,"Kentucky, USA",,5,KY1,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-26.9,51.8,,"Kentucky, USA",,5,KY2,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-26.7,26,,"Kentucky, USA",,10,KY3,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-26.6,18.8,,"Kentucky, USA",,10,KY1,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-26.6,14,,"Kentucky, USA",,10,KY2,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-26.5,15.7,,"Kentucky, USA",,25,KY3,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-26.3,11.3,,"Kentucky, USA",,25,KY1,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-26.1,7,,"Kentucky, USA",,25,KY2,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-25.8,7,,"Kentucky, USA",,40,KY3,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-25.6,3.7,,"Kentucky, USA",,40,KY2,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-25.5,4.7,,"Kentucky, USA",,40,KY1,,Wang et al. (2018)
Acton et al. (2013),-33.65,150.43,,,,,,,,,,,,,,,-26.1,2.3,,Australia,,,AU1,,Wang et al. (2018)
Acton et al. (2013),-33.65,150.43,,,,,,,,,,,,,,,-25.7,1.4,,Australia,,,AU1,,Wang et al. (2018)
Acton et al. (2013),-33.65,150.43,,,,,,,,,,,,,,,-26.4,32.8,,"New south Wales, Australia",,0-5,AU1,,Wang et al. (2018)
Acton et al. (2013),-33.65,150.43,,,,,,,,,,,,,,,-25.4,5.8,,Australia,,25-50,AU1,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-28.6,39.3,,"Kentucky, USA",,Litter/leaf,KY3,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-27.9,336.1,,"Kentucky, USA",,Litter/leaf,KY1,,Wang et al. (2018)
Acton et al. (2013),37.08,-83.98,,,,,,,,,,,,,,,-27.6,266.3,,"Kentucky, USA",,Litter/leaf,KY2,,Wang et al. (2018)
Amundson et al.1994,30,-115.2,,,,,,,,,,,,,,,-23.4,1.7,,California USA,,,El Progreso,,Wang et al. (2018)
Amundson et al.1994,30,-115.2,,,,,,,,,,,,,,,-23.6,2.3,,California USA,,,El Progreso,,Wang et al. (2018)
Amundson et al.1994,30,-115.2,,,,,,,,,,,,,,,-24.3,2.9,,California USA,,0-2,El Progreso,,Wang et al. (2018)
Amundson et al.1994,30,-115.2,,,,,,,,,,,,,,,-22.9,1.6,,California USA,,39-66,El Progreso,,Wang et al. (2018)
Amundson et al.1994,30,-115.2,,,,,,,,,,,,,,,-23.3,1.6,,California USA,,66-86,El Progreso,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-29.9,467,3.4,Mongolia,,0.442308,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-25.6,46,,Mongolia,,5.30769,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-24.5,15.59,,Mongolia,,8.992094862,Burdukovo,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-25.1,12.64,,Mongolia,,17.4765,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-25.1,8.79,,Mongolia,,26.97,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-23.9,21.91,,Mongolia,,33.89328063,Burdukovo,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-24.7,9.53,,Mongolia,,36.4634,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-24.3,5.97,,Mongolia,,45.9568,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-24.2,6.65,,Mongolia,,55.2345,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-23.9,11.96,,Mongolia,,59.48616601,Burdukovo,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-24,4.98,,Mongolia,,64.9437,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-23.8,6.74,,Mongolia,,70.55335968,Burdukovo,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-24.2,4.88,,Mongolia,,74.2214,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-24.1,17.7,,Mongolia,,76.77865613,Burdukovo,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-23.6,8.85,,Mongolia,,82.31225296,Burdukovo,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-24.3,2.65,,Mongolia,,83.7148,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-24.7,24.16,,Mongolia,,87.1541502,Burdukovo,,Wang et al. (2018)
Andreeva et al. (2013),52.48,111.52,,,,,,,,,,,,,,,-24.1,1.54,,Mongolia,,93.2083,Calcic kastanozem,,Wang et al. (2018)
Andreeva et al. (2013),52.12,107.48,,,,,,,,,,,,,,,-23.1,3.65,,Mongolia,,96.83794466,Burdukovo,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-26.9,87.55,,"Wakayama, Japan",,1.747572816,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-25.9,84.82,,"Wakayama, Japan",,1.747572816,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-25.9,62.17,,"Wakayama, Japan",,2.718446602,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-25.8,41.93,,"Wakayama, Japan",,4.466019417,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-25.7,68.76,,"Wakayama, Japan",,6.990291262,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-25.4,53.33,,"Wakayama, Japan",,7.572815534,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24.3,16.87,,"Wakayama, Japan",,9.32038835,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24.9,47.87,,"Wakayama, Japan",,15.33980583,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24.7,24.42,,"Wakayama, Japan",,15.33980583,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24,13.33,,"Wakayama, Japan",,18.25242718,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24.4,15.94,,"Wakayama, Japan",,25.24271845,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24.1,2.42,,"Wakayama, Japan",,25.4368932,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.7,1.44,,"Wakayama, Japan",,27.96116505,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.9,13.98,,"Wakayama, Japan",,35.14563107,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.8,17.19,,"Wakayama, Japan",,35.33980583,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.8,9.64,,"Wakayama, Japan",,38.25242718,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.7,7.87,,"Wakayama, Japan",,44.85436893,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.3,16.87,,"Wakayama, Japan",,45.04854369,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24,8.35,,"Wakayama, Japan",,48.34951456,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24.6,11.89,,"Wakayama, Japan",,55.33980583,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-24,8.35,,"Wakayama, Japan",,57.86407767,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.4,9.96,,"Wakayama, Japan",,65.24271845,Forest,,Wang et al. (2018)
Arai and Tokuchi (2010),34.07,135.52,,,,,,,,,,,,,,,-23.8,9.48,,"Wakayama, Japan",,68.54368932,Forest,,Wang et al. (2018)
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,3.1,-25.7,7.9,5.3,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,5.7,-25.6,3.2,2.3,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,5.6,-25.4,3.8,2.4,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,3,-24.8,3.6,2.5,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,6.3,-24.5,2.8,1.6,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,5,-24.2,4.4,2.7,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,,-23.9,2.6,1.3,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,,-23.4,2.8,1.5,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,1,-23.4,1.6,1.1,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,7.2,-23.3,2.4,1.7,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,11.3,-23.3,2,1.3,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,7.9,-23.2,2.2,1.4,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,7.5,-22.3,2.7,2.1,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,8.7,-21.6,1.6,0.9,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,12.1,-21.2,1.5,0.9,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,14.2,-20.2,0.8,0.7,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,12,-19.9,0.7,0.5,Zambia,,,Lukulu,,
Aranibar et al. (2005),-14.42,23.52,,1995,11,-7.92,,,,,,,,,,,-19.8,0.7,0.6,Zambia,,,Lukulu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,4.5,-27.9,,,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,-4.1,-27.3,,,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,4.2,-25.6,9.7,4.7,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,2.5,-25.6,1.6,0.9,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,5.8,-25.2,6.7,2.4,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,2.6,-25.1,17.5,8.2,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,4.9,-24.4,7.3,2.5,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,5.7,-24.4,6.4,1,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,5.9,-24.2,8.1,4,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.44,23.52,,2000,2,-8.06,,,,,,,,,,5.3,-24.2,,,Zambia,,,Mongu,,
Aranibar et al. (2005),-15.86,23.34,,1995,11,-7.92,,,,,,,,,,,-33.4,,,Zambia,,,Senanga,,
Aranibar et al. (2005),-15.86,23.34,,1995,11,-7.92,,,,,,,,,,,-26.7,,,Zambia,,,Senanga,,
Aranibar et al. (2005),-15.86,23.34,,1995,11,-7.92,,,,,,,,,,6.5,-25.3,,,Zambia,,,Senanga,,
Aranibar et al. (2005),-15.86,23.34,,1995,11,-7.92,,,,,,,,,,5.5,-23.5,,,Zambia,,,Senanga,,
Aranibar et al. (2005),-15.86,23.34,,1995,11,-7.92,,,,,,,,,,4.3,-19.6,,,Zambia,,,Senanga,,
Aranibar et al. (2005),-15.86,23.34,,1995,11,-7.92,,,,,,,,,,3,-12.7,,,Zambia,,,Senanga,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,5.7,-23.7,6.1,4,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,7.3,-23.6,5.3,3.2,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,5.7,-23.2,2.3,1.4,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,9.1,-23.1,4.3,2.4,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,11,-23.1,3.6,1.9,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,6.3,-22.8,5.3,3.3,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,9.6,-22.6,2.8,1.4,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,11.2,-22.5,2.3,1.2,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,,-22.3,2.3,1.3,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,11,-22.3,1.8,0.9,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,1.7,-22.1,1.4,0.9,Zambia,,,Maziba,,
Aranibar et al. (2005),-16.75,23.61,,1995,11,-7.92,,,,,,,,,,9.6,-21.5,2.1,1.2,Zambia,,,Maziba,,
Aranibar et al. (2005),-18.44,25.54,,1999,7,-8.06,,,,,,,,,,4.7,-23,4.6,2.4,Botswana,,,USGS-22,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,2.7,-29.1,5.5,4.1,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,3,-28.9,4.9,3.2,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,2.1,-28.2,8.2,6,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,1.5,-27.4,14.2,8.6,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,4.8,-27.2,12.4,8.1,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,3.9,-25.3,9.9,6.8,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,1.8,-25,5.6,2.8,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,3.5,-24.7,8.4,5.5,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-18.66,25.5,,2000,3,-8.06,,,,,,,,,,3.8,-23.4,6.7,4.6,Botswana,,,Pandamatenga,,
Aranibar et al. (2005),-19.17,25.77,,1999,7,-8.06,,,,,,,,,,7.3,-23.7,3.8,3.2,Botswana,,,USGS-23,,
Aranibar et al. (2005),-19.81,23.63,,1999,7,-8.06,,,,,,,,,,11.8,-19.2,6.7,6.3,Botswana,,,USGS-3,,
Aranibar et al. (2005),-19.92,26.15,,1999,7,-8.06,,,,,,,,,,7.9,-21.3,4.3,1.9,Botswana,,,USGS-24,,
Aranibar et al. (2005),-19.93,23.59,,2000,3,-8.06,,,,,,,,,,3.2,-25.3,,,Botswana,,,Maun,,
Aranibar et al. (2005),-19.93,23.59,,2000,3,-8.06,,,,,,,,,,7.6,-20.9,,,Botswana,,,Maun,,
Aranibar et al. (2005),-19.93,23.59,,2000,3,-8.06,,,,,,,,,,8.3,-20.5,,,Botswana,,,Maun,,
Aranibar et al. (2005),-19.93,23.59,,2000,3,-8.06,,,,,,,,,,7.8,-19.2,,,Botswana,,,Maun,,
Aranibar et al. (2005),-19.93,23.59,,2000,3,-8.06,,,,,,,,,,7.7,-18.8,,,Botswana,,,Maun,,
Aranibar et al. (2005),-19.95,26.15,,1999,7,-8.06,,,,,,,,,,6.3,-12.8,5.6,4.6,Botswana,,,USGS-25,,
Aranibar et al. (2005),-20.14,25.71,,1999,7,-8.06,,,,,,,,,,6.1,-14.6,4.5,2.7,Botswana,,,USGS-26,,
Aranibar et al. (2005),-20.16,23.77,,1999,7,-8.06,,,,,,,,,,9.7,-21.8,4.3,2.9,Botswana,,,USGS-28,,
Aranibar et al. (2005),-20.19,24.32,,1999,7,-8.06,,,,,,,,,,8,-19.7,1.9,0.7,Botswana,,,USGS-27,,
Aranibar et al. (2005),-20.2,25.22,,1999,7,-8.06,,,,,,,,,,7.8,-17.7,2.9,2.5,Botswana,,,USGS-13,,
Aranibar et al. (2005),-20.21,24.59,,1999,7,-8.06,,,,,,,,,,9.3,-17,1.4,0.4,Botswana,,,USGS-11,,
